word,allcount,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,,全ての章で使っているか
people,6,1,4,0,0,0,0,0,0,0,0,0,0,1,,FALSE
courage,6,1,0,0,1,2,0,0,0,0,0,2,0,0,,FALSE
wise,6,1,2,0,0,0,0,0,1,0,0,0,0,2,,FALSE
two,6,2,0,1,0,2,0,0,0,0,1,0,0,0,,FALSE
ability,6,1,0,0,2,1,0,0,0,0,0,1,0,1,,FALSE
advantages,6,1,0,0,0,0,1,0,2,1,0,1,0,0,,FALSE
circumstances,6,2,0,1,0,0,1,2,0,0,0,0,0,0,,FALSE
near,6,2,0,0,0,0,1,1,0,2,0,0,0,0,,FALSE
opponent,6,1,0,0,0,0,3,0,0,0,0,2,0,0,,FALSE
taking,6,1,0,0,1,0,1,0,0,1,0,2,0,0,,FALSE
few,6,2,0,0,0,1,2,0,0,1,0,0,0,0,,FALSE
point,6,1,1,0,0,0,1,1,1,0,0,1,0,0,,FALSE
li,6,0,1,0,0,0,2,3,0,0,0,0,0,0,,FALSE
man,6,0,2,1,0,0,0,0,0,0,0,2,0,1,,FALSE
never,6,0,1,0,0,1,0,0,0,0,2,1,1,0,,FALSE
been,6,0,2,0,1,1,0,0,0,1,0,0,1,0,,FALSE
neither,6,0,1,1,2,0,1,0,0,0,1,0,0,0,,FALSE
bring,6,0,1,1,1,0,0,0,0,0,0,2,0,1,,FALSE
distance,6,0,2,0,0,0,0,1,0,0,2,1,0,0,,FALSE
best,6,0,0,2,0,0,0,0,1,1,1,1,0,0,,FALSE
attacking,6,0,0,1,1,0,0,1,1,0,0,0,2,0,,FALSE
retreat,6,0,0,1,0,0,0,1,0,1,2,1,0,0,,FALSE
through,6,0,0,1,0,0,3,0,0,0,0,1,0,1,,FALSE
whose,6,0,0,1,0,0,2,2,0,0,1,0,0,0,,FALSE
dispositions,6,0,0,0,1,1,3,0,0,0,0,0,0,1,,FALSE
see,6,0,0,0,2,0,2,0,0,0,0,1,1,0,,FALSE
making,6,0,0,0,2,0,1,0,0,0,1,0,1,1,,FALSE
after,6,0,0,0,1,0,0,3,0,1,1,0,0,0,,FALSE
under,6,0,0,0,0,2,1,0,0,1,0,0,0,2,,FALSE
host,6,0,0,0,0,1,0,2,0,0,0,2,0,1,,FALSE
direct,6,0,0,0,0,4,0,1,0,1,0,0,0,0,,FALSE
turn,6,0,0,0,0,1,1,1,1,0,1,1,0,0,,FALSE
strike,6,0,0,0,0,1,1,0,0,0,0,3,0,1,,FALSE
attacks,6,0,0,0,0,0,2,1,0,0,0,1,2,0,,FALSE
us,6,0,0,0,0,0,2,0,1,1,1,0,0,1,,FALSE
face,6,0,0,0,0,0,1,1,0,1,0,2,0,1,,FALSE
left,6,0,0,0,0,0,4,0,0,1,0,1,0,0,,FALSE
carefully,6,0,0,0,0,0,1,0,0,1,2,2,0,0,,FALSE
difficult,6,0,0,0,0,0,0,1,1,0,0,4,0,0,,FALSE
until,6,0,0,0,0,0,0,1,0,1,0,4,0,0,,FALSE
territory,6,0,0,0,0,0,0,1,0,0,0,5,0,0,,FALSE
hard,6,0,0,0,0,0,0,1,0,1,1,3,0,0,,FALSE
river,6,0,0,0,0,0,0,0,0,5,0,1,0,0,,FALSE
regard,6,0,0,0,0,0,0,0,0,0,4,2,0,0,,FALSE
highways,6,0,0,0,0,0,0,0,0,0,0,5,0,1,,FALSE
converted,6,0,0,0,0,0,0,0,0,0,0,0,0,6,,FALSE
conditions,5,2,0,1,0,0,1,0,0,0,1,0,0,0,,FALSE
complete,5,1,0,2,1,0,0,0,0,0,1,0,0,0,,FALSE
danger,5,2,0,0,0,0,0,0,0,1,0,2,0,0,,FALSE
night,5,1,0,0,0,0,0,2,0,1,0,0,1,0,,FALSE
distances,5,1,0,0,0,0,2,0,0,0,1,0,0,1,,FALSE
narrow,5,1,0,0,0,0,0,0,0,0,2,2,0,0,,FALSE
passes,5,1,0,0,0,0,0,0,0,0,2,2,0,0,,FALSE
chances,5,1,0,0,3,0,0,1,0,0,0,0,0,0,,FALSE
proper,5,1,0,0,0,0,0,0,0,0,0,1,3,0,,FALSE
whom,5,1,1,0,0,0,1,0,0,0,0,0,0,2,,FALSE
both,5,1,0,1,0,0,0,0,0,0,1,2,0,0,,FALSE
command,5,1,0,0,0,1,0,0,0,0,0,2,0,1,,FALSE
far,5,2,0,0,0,0,0,2,0,1,0,0,0,0,,FALSE
hold,5,1,0,0,0,0,2,0,1,0,0,0,0,1,,FALSE
secure,5,1,0,0,2,1,0,0,0,1,0,0,0,0,,FALSE
calculation,5,1,0,0,3,0,0,0,0,0,0,0,0,1,,FALSE
